reference_year,geography_id,geography_name,geography_group,latitude,longitude,unit_type,average_rent,vacancy_rate,unit_count
2024,DT01,Downtown Core,Downtown Toronto,43.6535,-79.3839,Studio,1850,1.8,4200
2024,DT01,Downtown Core,Downtown Toronto,43.6535,-79.3839,1 Bedroom,2310,1.6,8700
2024,DT01,Downtown Core,Downtown Toronto,43.6535,-79.3839,2 Bedroom,3120,1.4,6400
2024,DT01,Downtown Core,Downtown Toronto,43.6535,-79.3839,3 Bedroom+,3850,1.2,1400
2024,DT02,Waterfront Communities,Downtown Toronto,43.6415,-79.3760,Studio,1925,1.5,3600
2024,DT02,Waterfront Communities,Downtown Toronto,43.6415,-79.3760,1 Bedroom,2425,1.3,9200
2024,DT02,Waterfront Communities,Downtown Toronto,43.6415,-79.3760,2 Bedroom,3290,1.1,7100
2024,DT02,Waterfront Communities,Downtown Toronto,43.6415,-79.3760,3 Bedroom+,4100,a,900
2024,DT03,University-Rosedale,Downtown Toronto,43.6697,-79.3980,Studio,1760,2.2,1900
2024,DT03,University-Rosedale,Downtown Toronto,43.6697,-79.3980,1 Bedroom,2250,1.9,4100
2024,DT03,University-Rosedale,Downtown Toronto,43.6697,-79.3980,2 Bedroom,3010,1.5,3100
2024,DT03,University-Rosedale,Downtown Toronto,43.6697,-79.3980,3 Bedroom+,3925,1.0,700
2025,DT01,Downtown Core,Downtown Toronto,43.6535,-79.3839,Studio,1910,1.7,4300
2025,DT01,Downtown Core,Downtown Toronto,43.6535,-79.3839,1 Bedroom,2395,1.5,8900
2025,DT01,Downtown Core,Downtown Toronto,43.6535,-79.3839,2 Bedroom,3215,1.3,6500
2025,DT01,Downtown Core,Downtown Toronto,43.6535,-79.3839,3 Bedroom+,3990,1.1,1500
2025,DT02,Waterfront Communities,Downtown Toronto,43.6415,-79.3760,Studio,1985,1.4,3700
2025,DT02,Waterfront Communities,Downtown Toronto,43.6415,-79.3760,1 Bedroom,2510,1.2,9400
2025,DT02,Waterfront Communities,Downtown Toronto,43.6415,-79.3760,2 Bedroom,3375,1.0,7300
2025,DT02,Waterfront Communities,Downtown Toronto,43.6415,-79.3760,3 Bedroom+,a,a,920
2025,DT03,University-Rosedale,Downtown Toronto,43.6697,-79.3980,Studio,1815,2.0,1950
2025,DT03,University-Rosedale,Downtown Toronto,43.6697,-79.3980,1 Bedroom,2325,1.8,4200
2025,DT03,University-Rosedale,Downtown Toronto,43.6697,-79.3980,2 Bedroom,3095,1.4,3200
2025,DT03,University-Rosedale,Downtown Toronto,43.6697,-79.3980,3 Bedroom+,4050,0.9,720
